source,event_time_raw,event_time_utc,event_time_epoch_ms,incident_type,location
police,08/31/2026 20:05,2026-09-01T00:05:00Z,1788221100000,STOP,S DIVISION AVE / BARTLETT ST SW
fire,08/31/2026 20:06,2026-09-01T00:06:00Z,1788221160000,MED2,MARTIN LUTHER KING JR ST SE / S DIVISION AVE
police,08/31/2026 20:16,2026-09-01T00:16:00Z,1788221760000,DOM,1000 DORCHESTER AVE SW
police,08/31/2026 20:17,2026-09-01T00:17:00Z,1788221820000,DISO,400 IONIA AVE SW
police,08/31/2026 20:26,2026-09-01T00:26:00Z,1788222360000,WELFARE,0 MONROE CENTER ST NW
police,08/31/2026 20:43,2026-09-01T00:43:00Z,1788223380000,STOP,0 CANTON ST SW
police,08/31/2026 20:44,2026-09-01T00:44:00Z,1788223440000,STOP,1200 PLAINFIELD AVE NE
police,08/31/2026 20:49,2026-09-01T00:49:00Z,1788223740000,STOP,3300 BROOKLYN AVE SE
police,08/31/2026 20:54,2026-09-01T00:54:00Z,1788224040000,ASLT,300 IONIA AVE SW
police,08/31/2026 20:55,2026-09-01T00:55:00Z,1788224100000,PD,1500 MUSKEGON AVE NW
fire,08/31/2026 20:58,2026-09-01T00:58:00Z,1788224280000,MED1,0 ANDRE ST SW
fire,08/31/2026 21:04,2026-09-01T01:04:00Z,1788224640000,MED1,100 E FULTON ST
police,08/31/2026 21:10,2026-09-01T01:10:00Z,1788225000000,SUSPICIOUS,700 SHELDON AVE SE
police,08/31/2026 21:12,2026-09-01T01:12:00Z,1788225120000,STOP,N DIVISION AVE / COLDBROOK ST NE
police,08/31/2026 21:19,2026-09-01T01:19:00Z,1788225540000,DOM,1000 FREMONT AVE NW
fire,08/31/2026 21:22,2026-09-01T01:22:00Z,1788225720000,MED1,2600 BIRCHCREST DR SE
police,08/31/2026 21:22,2026-09-01T01:22:00Z,1788225720000,STOP,HALL ST SE / MADISON AVE SE
police,08/31/2026 21:30,2026-09-01T01:30:00Z,1788226200000,STOP,KALAMAZOO AVE SE / MARTIN LUTHER KING JR ST SE
fire,08/31/2026 21:31,2026-09-01T01:31:00Z,1788226260000,MED1,MONROE AVE NW / LEONARD ST NW
police,08/31/2026 21:31,2026-09-01T01:31:00Z,1788226260000,PI,MONROE AVE NW / LEONARD ST NW
police,08/31/2026 21:33,2026-09-01T01:33:00Z,1788226380000,STOP,SHELDON AVE SE / HALL ST SE
police,08/31/2026 21:37,2026-09-01T01:37:00Z,1788226620000,STOP,800 FAIRVIEW AVE NE
police,08/31/2026 21:38,2026-09-01T01:38:00Z,1788226680000,STOP,JEFFERSON AVE SE / WEALTHY ST SE
police,08/31/2026 21:43,2026-09-01T01:43:00Z,1788226980000,STOP,S DIVISION AVE / WEALTHY ST SE
fire,08/31/2026 21:48,2026-09-01T01:48:00Z,1788227280000,MED1,3300 ESSEX AVE NE
police,08/31/2026 21:48,2026-09-01T01:48:00Z,1788227280000,STOP,OAKDALE ST SE / UNION AVE SE
police,08/31/2026 21:51,2026-09-01T01:51:00Z,1788227460000,PDHR,US-131 NB IN S-CURVE
police,08/31/2026 21:58,2026-09-01T01:58:00Z,1788227880000,STOP,44TH ST SE / STUART AVE SE
police,08/31/2026 22:03,2026-09-01T02:03:00Z,1788228180000,STOP,LOUIS ST NW / CAMPAU AVE NW
police,08/31/2026 22:05,2026-09-01T02:05:00Z,1788228300000,STOP,300 BURTON ST SE
fire,08/31/2026 22:06,2026-09-01T02:06:00Z,1788228360000,MED2,1100 LEONARD ST NE
police,08/31/2026 22:07,2026-09-01T02:07:00Z,1788228420000,STOP,WORDEN ST SE / NELAND AVE SE
police,08/31/2026 22:09,2026-09-01T02:09:00Z,1788228540000,SUSPICIOUS,0 LIBRARY ST NE
police,08/31/2026 22:09,2026-09-01T02:09:00Z,1788228540000,ASSIST,1100 LEONARD ST NE
police,08/31/2026 22:10,2026-09-01T02:10:00Z,1788228600000,STOP,LAKE MICHIGAN DR NW / LEXINGTON AVE NW
police,08/31/2026 22:17,2026-09-01T02:17:00Z,1788229020000,STOP,MARTIN LUTHER KING JR ALY SE / MADISON AVE SE
police,08/31/2026 22:18,2026-09-01T02:18:00Z,1788229080000,STOP,KALAMAZOO AVE SE / ELLIOTT ST SE
police,08/31/2026 22:19,2026-09-01T02:19:00Z,1788229140000,STOP,S DIVISION AVE / BUCKLEY ST SE
police,08/31/2026 22:28,2026-09-01T02:28:00Z,1788229680000,STOP,2000 MONROE AVE NE
police,08/31/2026 22:34,2026-09-01T02:34:00Z,1788230040000,STOP,HOUSEMAN AVE NE / CRESCENT ST NE
police,08/31/2026 22:39,2026-09-01T02:39:00Z,1788230340000,STOP,KALAMAZOO AVE SE / GRIGGS ST SE
fire,08/31/2026 22:42,2026-09-01T02:42:00Z,1788230520000,FIREALARM,900 BRIDGE ST NW
police,08/31/2026 22:43,2026-09-01T02:43:00Z,1788230580000,STOP,KALAMAZOO AVE SE / OAKDALE ST SE
police,08/31/2026 22:44,2026-09-01T02:44:00Z,1788230640000,STOP,100 CUTLER ST SW
police,08/31/2026 22:45,2026-09-01T02:45:00Z,1788230700000,STOP,BUTTERWORTH ST SW / MARION AVE SW
police,08/31/2026 22:47,2026-09-01T02:47:00Z,1788230820000,DISO,CHERRY ST SW / COMMERCE AVE SW
police,08/31/2026 22:50,2026-09-01T02:50:00Z,1788231000000,ASLT,1200 MICHIGAN ST NE
police,08/31/2026 22:50,2026-09-01T02:50:00Z,1788231000000,STOP,BAXTER ST SE / (WO)EASTERN AVE SE
police,08/31/2026 22:53,2026-09-01T02:53:00Z,1788231180000,STOP,LAFAYETTE AVE NE / HASTINGS ST NE
police,08/31/2026 22:58,2026-09-01T02:58:00Z,1788231480000,STOP,MONROE AVE NW / DALE ST NW
police,08/31/2026 22:59,2026-09-01T02:59:00Z,1788231540000,STOP,KIRTLAND ST SW / BUCHANAN AVE SW
police,08/31/2026 23:09,2026-09-01T03:09:00Z,1788232140000,STOP,CHERRY ST SW / IONIA AVE SW
police,08/31/2026 23:10,2026-09-01T03:10:00Z,1788232200000,STOP,CHERRY ST SW / IONIA AVE SW
police,08/31/2026 23:17,2026-09-01T03:17:00Z,1788232620000,LARC,0 HALL ST SW
police,08/31/2026 23:18,2026-09-01T03:18:00Z,1788232680000,STOP,FISK ST SE / DALLAS AVE SE
police,08/31/2026 23:20,2026-09-01T03:20:00Z,1788232800000,STOP,JEFFERSON AVE SE / MARTIN LUTHER KING JR ST SE
police,08/31/2026 23:22,2026-09-01T03:22:00Z,1788232920000,STOP,400 MICHIGAN ST NE
police,08/31/2026 23:23,2026-09-01T03:23:00Z,1788232980000,SUSPICIOUS,1000 S DIVISION AVE
police,08/31/2026 23:24,2026-09-01T03:24:00Z,1788233040000,STOP,MADISON AVE SE / 28TH ST SE
police,08/31/2026 23:29,2026-09-01T03:29:00Z,1788233340000,STOP,PLAINFIELD AVE NE / SWEET ST NE
police,08/31/2026 23:30,2026-09-01T03:30:00Z,1788233400000,STOP,DIAMOND AVE NE / HAKE ST NE
police,08/31/2026 23:37,2026-09-01T03:37:00Z,1788233820000,DISO,1200 MICHIGAN ST NE
police,08/31/2026 23:39,2026-09-01T03:39:00Z,1788233940000,DOM,1300 MADISON AVE SE
police,08/31/2026 23:41,2026-09-01T03:41:00Z,1788234060000,STOP,MICHIGAN ST NE / FULLER AVE NE
police,08/31/2026 23:51,2026-09-01T03:51:00Z,1788234660000,STOP,OTTAWA AVE NW / MICHIGAN ST NW
